Amount_Requested,Application_Date,Loan_Title,Risk_Score,Debt-To-Income_Ratio,Zip_Code,State,Employment_Length,Policy_Code,RiskScoreMA50
3500.0,2007-06-21,mqs0420,572.0,0%,350xx,AL,< 1 year,0.0,572.0
7500.0,2007-06-21,mrwilson,525.0,24%,640xx,MO,3 years,0.0,548.5
1000.0,2007-06-21,jeremysegars,482.0,21.43%,752xx,TX,< 1 year,0.0,526.3333333333334
1500.0,2007-06-21,asquit,581.0,2.52%,660xx,KS,1 year,0.0,540.0
10000.0,2007-06-21,Loan Consolidation,635.0,13.35%,926xx,CA,1 year,0.0,559.0
4000.0,2007-06-21,musicjunkieg,515.0,12.29%,100xx,NY,< 1 year,0.0,551.6666666666666
12000.0,2007-06-21,incognito,789.0,22.72%,014xx,MA,5 years,0.0,585.5714285714286
8000.0,2007-06-21,One Payment Plan,595.0,15.67%,672xx,KS,< 1 year,0.0,586.75
1300.0,2007-06-21,micdavhen,468.0,11.53%,277xx,NC,1 year,0.0,573.5555555555555
3000.0,2007-06-21,echolis,543.0,7.3%,142xx,NY,5 years,0.0,570.5
2200.0,2007-06-21,velodave,596.0,0.5%,432xx,OH,2 years,0.0,572.8181818181819
25000.0,2007-06-21,callana,619.0,10.29%,021xx,MA,2 years,0.0,576.6666666666666
10000.0,2007-06-21,SFPT,474.0,12.93%,546xx,WI,< 1 year,0.0,568.7692307692307
1000.0,2007-06-22,BrianMc21,0.0,0%,314xx,GA,< 1 year,0.0,0.0
7500.0,2007-06-22,DonGuzz,528.0,0%,021xx,MA,5 years,0.0,264.0
1000.0,2007-06-22,ninjaone,646.0,109.2%,752xx,TX,< 1 year,0.0,391.3333333333333
5000.0,2007-06-22,operaprincess86,600.0,10.12%,021xx,MA,1 year,0.0,443.5
10000.0,2007-06-22,flippidot,0.0,0%,100xx,NY,2 years,0.0,354.8
3000.0,2007-06-22,digitalkp,594.0,9.07%,114xx,NY,< 1 year,0.0,394.6666666666667
20000.0,2007-06-22,zu,635.0,9.87%,333xx,FL,3 years,0.0,429.0
8500.0,2007-06-22,wxman,702.0,30.19%,735xx,OK,1 year,0.0,463.125
1000.0,2007-06-22,andyasstronaut,561.0,21.7%,787xx,TX,3 years,0.0,474.0
20000.0,2007-06-22,RexMundi,530.0,0.69%,981xx,WA,4 years,0.0,479.6
3500.0,2007-06-23,Kristen811,538.0,13.55%,135xx,NY,7 years,0.0,538.0
8000.0,2007-06-23,reveiled,462.0,12.38%,334xx,FL,< 1 year,0.0,500.0
9000.0,2007-06-23,insanebeauty222,625.0,2.81%,049xx,ME,< 1 year,0.0,541.6666666666666
4500.0,2007-06-23,lwilli2480,628.0,15.79%,958xx,CO,10+ years,0.0,563.25
1000.0,2007-06-23,audralea,710.0,18.8%,720xx,AR,< 1 year,0.0,592.6
25000.0,2007-06-23,wendylou65,565.0,43.25%,453xx,OH,10+ years,0.0,588.0
4000.0,2007-06-23,aliciaversteeg,666.0,6.12%,452xx,OH,< 1 year,0.0,599.1428571428571
20000.0,2007-06-23,iltschi58,549.0,5.2%,201xx,VA,10+ years,0.0,592.875
5000.0,2007-06-23,VTNurse,650.0,11%,052xx,VT,2 years,0.0,599.2222222222222
25000.0,2007-06-24,betsy1120,570.0,22.56%,331xx,FL,2 years,0.0,570.0
4000.0,2007-06-24,Forex,657.0,39.55%,773xx,TX,2 years,0.0,613.5
11000.0,2007-06-24,personal loan,655.0,2.09%,104xx,NY,10+ years,0.0,627.3333333333334
7000.0,2007-06-24,clean slate,647.0,30.79%,216xx,MD,10+ years,0.0,632.25
4000.0,2007-06-24,prettybaby80,495.0,0%,104xx,NY,7 years,0.0,604.8
1400.0,2007-06-24,good person,488.0,8.94%,104xx,NY,9 years,0.0,585.3333333333334
15000.0,2007-06-24,pap0607,695.0,40.78%,296xx,SC,2 years,0.0,601.0
5000.0,2007-06-24,skywater,484.0,6.63%,857xx,AR,8 years,0.0,586.375
7500.0,2007-06-24,coffeeman,510.0,3.94%,211xx,MD,6 years,0.0,577.8888888888889
2000.0,2007-06-24,biblioteach,505.0,1.82%,287xx,NC,10+ years,0.0,570.6
20000.0,2007-06-24,DHaywood,543.0,0%,104xx,NY,< 1 year,0.0,568.0909090909091
9000.0,2007-06-24,mareliz,566.0,38.42%,018xx,MA,< 1 year,0.0,567.9166666666666
10000.0,2007-06-24,Moanablu,535.0,50.76%,550xx,MN,5 years,0.0,565.3846153846154
20000.0,2007-06-24,aujosh02,671.0,29.12%,368xx,AL,2 years,0.0,572.9285714285714
1000.0,2007-06-24,Rockstar,601.0,0%,467xx,IN,1 year,0.0,574.8
15000.0,2007-06-24,Choppee,480.0,680.31%,294xx,SC,1 year,0.0,568.875
15000.0,2007-06-24,alc1978,534.0,8.58%,917xx,CO,< 1 year,0.0,566.8235294117648
2000.0,2007-06-24,tammers,535.0,0.75%,285xx,NC,1 year,0.0,565.0555555555555
15000.0,2007-06-24,Btmason,571.0,23.6%,288xx,NC,< 1 year,0.0,565.3684210526316
20000.0,2007-06-25,G,609.0,27.72%,881xx,NM,2 years,0.0,609.0
13000.0,2007-06-25,terbehr,583.0,45.78%,843xx,UT,10+ years,0.0,596.0
25000.0,2007-06-25,evajones,623.0,23.01%,988xx,WA,4 years,0.0,605.0
2000.0,2007-06-25,Hismtngrl,527.0,51.73%,806xx,CO,6 years,0.0,585.5
20000.0,2007-06-25,singlemom71,596.0,9.96%,717xx,AR,6 years,0.0,587.6
5250.0,2007-06-25,musics,701.0,0.26%,180xx,PA,< 1 year,0.0,606.5
4000.0,2007-06-25,mfalette,524.0,5.04%,985xx,WA,1 year,0.0,594.7142857142857
12000.0,2007-06-25,legacy1,533.0,16.77%,370xx,TN,< 1 year,0.0,587.0
2500.0,2007-06-25,chappy84,574.0,3.2%,479xx,IN,1 year,0.0,585.5555555555555
6000.0,2007-06-25,Canisius College,645.0,9.51%,142xx,NY,< 1 year,0.0,591.5
5000.0,2007-06-25,Pandora46,606.0,40.88%,216xx,MD,10+ years,0.0,592.8181818181819
